,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
2022-01,"Forbearance Requests, Loan Issues, Id","Loan Issues, Year, Student Loans","Payment Problems, Loan Issues, Account Disputes","Payment Problems, Loan Issues, FedLoan Servicing","Loan Issues, Payment Problems, Student Loans"
2022-02,"Debt Collection, Code, Information","Loan Issues, Payment Problems, Time","Loan Issues, Payment Problems, Make","Payment Problems, Loan Issues, Count","Loan Issues, Student Loans, Credit Reporting"
2022-03,"Loan Issues, Pheaa, Balance","Loan Issues, Payment Problems, Student Loans","Debt Collection, Loan Issues, Forbearance Requests","Loan Issues, Payment Problems, FedLoan Servicing","Payment Problems, Loan Issues, Time"
2022-04,"Loan Issues, Payment Problems, School","Loan Issues, Payment Problems, Student Loans","Payment Problems, Application Issues, FedLoan Servicing","Reporting Errors, Account Disputes, Late","Consumer, Debt Collection, Information"
2022-05,"Nelnet Complaints, Email, Note","Loan Issues, Time, Payment Problems","Loan Issues, Payment Problems, Refund","Loan Issues, Payment Problems, Student Loans","Loan Issues, Payment Problems, Nelnet Complaints"
2022-06,"Loan Issues, Payment Problems, Student Loans","Loan Issues, Refund, Payment Problems","Loan Issues, Payment Problems, Navient","Loan Issues, Payment Problems, Pay","Payment Problems, Service, Loan Issues"
2022-07,"Loan Issues, Payment Problems, Forgiveness","Loan Issues, Payment Problems, Account Disputes","Loan Issues, Payment Problems, Time","Information, Consumer, Reporting Errors","Loan Issues, Payment Problems, Year"
2022-08,"Letter, Payment Problems, Request","Refund, Payment Problems, Loan Issues","Loan Issues, Payment Problems, Student Loans","Loan Issues, Pay, Payment Problems","Paperwork, Submit, Count"
2022-09,"FedLoan Servicing, Loan Issues, Request","Loan Issues, Payment Problems, Navient","Loan Issues, Payment Problems, Student Loans","Nelnet Complaints, Credit Reporting, Reporting Errors","Refund, Loan Issues, Request"
2022-10,"Loan Issues, Payment Problems, Make","Mohela, Loan Issues, Application Issues","Loan Issues, Student Loans, Time","Loan Issues, Payment Problems, Mohela","Refund, Request, Loan Issues"
2022-11,"Refund, Loan Issues, Request","Account Disputes, Complaint, Consumer","Loan Issues, Payment Problems, Navient","Mohela, Payment Problems, Loan Issues","Tell, Submit, Mohela"
2022-12,"Loan Issues, Year, Payment Problems","Loan Issues, Payment Problems, Mohela","Reporting Errors, Debt Collection, Credit Reporting","Loan Issues, Payment Problems, Mohela","Refund, Week, Request"
2023-01,"Loan Issues, Mohela, Payment Problems","Loan Issues, Payment Problems, Student Loans","Loan Issues, Mohela, Application Issues","Refund, Request, Aidvantage","Payment Problems, Loan Issues, Account Disputes"
2023-02,"Mohela, Payment Problems, Loan Issues","Loan Issues, Payment Problems, Tell","Loan Issues, Refund, Payment Problems","Loan Issues, Student Loans, Exhibit","Loan Issues, Payment Problems, Make"
2023-03,"Exhibit, Loan Issues, Nelnet Complaints","Mohela, Form, Loan Issues","Payment Problems, Loan Issues, Mohela","Loan Issues, Signature, Mohela","Loan Issues, Payment Problems, Student Loans"
2023-04,"Mohela, Form, Loan Issues","Loan Issues, Payment Problems, Mohela","Payment Problems, Loan Issues, Check","Loan Issues, Navient, Student Loans","Loan Issues, Nelnet Complaints, Receive"
2023-05,"Note, Promissory, Year","Debt Collection, Account Disputes, Reporting Errors","Year, Consumer, Employer","Mohela, Loan Issues, Payment Problems","Loan Issues, Payment Problems, Mohela"
2023-06,"Loan Issues, Nelnet Complaints, Student Loans","Loan Issues, Payment Problems, Mohela","Loan Issues, Payment Problems, Information","Mohela, Client, Day","Loan Issues, Payment Problems, Mohela"
2023-07,"Loan Issues, Nelnet Complaints, Student Loans","Loan Issues, Payment Problems, Time","Payment Problems, Plan, Income","Loan Issues, Year, Student Loans","Information, Rate, Loan Issues"
2023-08,"Loan Issues, Payment Problems, Mohela","Loan Issues, Nelnet Complaints, Student Loans","Loan Issues, Credit Reporting, Account Disputes","Consumer, Information, Act","Loan Issues, Student Loans, Account Disputes"
2023-09,"Loan Issues, Payment Problems, Mohela","Payment Problems, Mohela, Income","Plan, Application Issues, Save","Loan Issues, Payment Problems, Pay","Payment Problems, Loan Issues, Account Disputes"
2023-10,"Payment Problems, Mohela, Plan","Payment Problems, Account Disputes, Email","Loan Issues, Nelnet Complaints, Receive","Loan Issues, Payment Problems, Pay","Loan Issues, Student Loans, Receive"
2023-11,"Payment Problems, Loan Issues, Make","Loan Issues, Nelnet Complaints, Student Loans","Loan Issues, Payment Problems, Mohela","Payment Problems, Refund, Loan Issues","Plan, Mohela, Application Issues"
2023-12,"Payment Problems, Mohela, Date","Nelnet Complaints, Loan Issues, Email","Loan Issues, Payment Problems, Plan","Payment Problems, Loan Issues, Pay","Loan Issues, Mohela, Payment Problems"
